Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_100,Has_Critic_Score,Has_User_Score,Platform_Launch_Year,Generation,Franchise,Is_Sequel,Years_After_Launch,Life_Cycle,Calculated_Global_Sales
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,65.0,4.0,7.0,10.0,Ubisoft Shanghai,E,70.0,1,1,1994,5.0,Disney's Donald Duck,0,6,Mature,0.15000000000000002
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Mobile Suit Gundam,0,3,Growth,0.15000000000000002
Galerians,PS,1999,Adventure,Crave Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Galerians,0,5,Growth,0.15000000000000002
Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,0.15,80.0,25.0,8.3,57.0,Falcom,T,83.0,1,1,2004,7.0,Ys,0,6,Mature,0.14
Crash: Twinsanity,XB,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15,66.0,30.0,8.7,29.0,Traveller's Tales,E,87.0,1,1,2001,6.0,Crash,0,3,Growth,0.15000000000000002
We Dance,Wii,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15,,,,,Nordic Games Publishing,Unknown,,0,0,2006,7.0,We Dance,0,5,Growth,0.15
Space Camp,DS,2009,Action,Activision,0.14,0.0,0.0,0.01,0.15,,,,,7 Studios,E,,0,0,2004,0.0,Space Camp,0,5,Growth,0.15000000000000002
DrumMania,PS2,2000,Simulation,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2000,6.0,DrumMania,0,0,Launch,0.15
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2011,8.0,Hoppechan,0,2,Launch,0.15
Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,Action,Konami Digital Entertainment,0.15,0.0,0.0,0.0,0.15,,,,,Unknown,Unknown,,0,0,2004,0.0,Yu-Gi-Oh! Nightmare Troubadour (US sales),0,1,Launch,0.15
SpongeBob's Truth or Square,DS,2009,Action,THQ,0.07,0.07,0.0,0.01,0.15,,,,,"THQ, Altron",E,,0,0,2004,0.0,SpongeBob's Truth or Square,0,5,Growth,0.15000000000000002
Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2004,0.0,Tamagotchi no Narikiri Channel,0,5,Growth,0.15
Arena Football,XB,2006,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15,65.0,17.0,8.5,10.0,EA Tiburon,E10+,85.0,1,1,2001,6.0,Arena Football,0,5,Growth,0.15000000000000002
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15,,,,,Unknown,Unknown,,0,0,2001,6.0,Power Pro Kun Pocket 1+2,1,3,Growth,0.14
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,0.15,80.0,19.0,7.2,12.0,Netherock Ltd.,T,72.0,1,1,2001,6.0,Medal of Honor,0,2,Launch,0.15
Skylanders: SuperChargers,Wii,2015,Action,Activision,0.02,0.12,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,2006,7.0,Skylanders,0,9,Late,0.15
Blazing Dragons,PS,1996,Adventure,Crystal Dynamics,0.08,0.06,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Blazing Dragons,0,2,Launch,0.15000000000000002
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74.0,6.0,8.0,11.0,TT Games,E10+,80.0,1,1,2012,8.0,Lego Star Wars,0,4,Growth,0.15000000000000002
Victorious: Hollywood Arts Debut,DS,2011,Misc,D3Publisher,0.13,0.01,0.0,0.01,0.15,,,,,Behaviour Interactive,E,,0,0,2004,0.0,Victorious,0,7,Mature,0.15000000000000002
The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,Role-Playing,D3Publisher,0.13,0.0,0.0,0.01,0.15,68.0,18.0,6.0,4.0,Media Vision,E,60.0,1,1,2004,0.0,The Wizard of Oz,0,4,Growth,0.14
Baseball Blast!,Wii,2009,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,2006,7.0,Baseball Blast!,0,3,Growth,0.15000000000000002
Super Monkey Ball Deluxe,XB,2005,Misc,Sega,0.11,0.03,0.0,0.01,0.15,81.0,25.0,8.2,9.0,Sega,E,82.0,1,1,2001,6.0,Super Monkey Ball,0,4,Growth,0.15000000000000002
Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,Role-Playing,Atlus,0.0,0.0,0.14,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Shin Megami Tensei,0,5,Growth,0.15000000000000002
Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2004,0.0,Shin Chan,0,4,Growth,0.15
Jurassic: The Hunted,Wii,2009,Shooter,Activision,0.14,0.0,0.0,0.01,0.15,,,,,Activision,T,,0,0,2006,7.0,Jurassic,0,3,Growth,0.15000000000000002
The Cursed Crusade,X360,2011,Action,DTP Entertainment,0.08,0.05,0.0,0.01,0.15,39.0,27.0,4.4,29.0,Kylotonn,M,44.0,1,1,2005,7.0,The Cursed Crusade,0,6,Mature,0.14
Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0.0,0.0,0.01,0.15,,,,,Electronic Arts,E,,0,0,2006,7.0,Charm Girls Club,0,3,Growth,0.15000000000000002
SpongeBob's Boating Bash,DS,2010,Misc,THQ,0.13,0.0,0.0,0.01,0.15,,,,,Firebrand Games,E,,0,0,2004,0.0,SpongeBob's Boating Bash,0,6,Mature,0.14
Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2004,0.0,Tamagotchi,0,7,Mature,0.15
Earth Defense Force 2025,X360,2013,Shooter,D3Publisher,0.06,0.03,0.05,0.01,0.15,68.0,25.0,8.1,63.0,Sandlot,M,81.0,1,1,2005,7.0,Earth Defense Force,0,8,Mature,0.15000000000000002
NHL 2K10,X360,2009,Sports,Take-Two Interactive,0.11,0.02,0.0,0.01,0.15,69.0,31.0,7.9,15.0,Take-Two Interactive,E10+,79.0,1,1,2005,7.0,NHL 2K10,0,4,Growth,0.14
White Knight Chronicles: Origins,PSP,2011,Role-Playing,Sony Computer Entertainment,0.0,0.04,0.09,0.02,0.15,,,,,Unknown,Unknown,,0,0,2004,7.0,White Knight Chronicles,0,7,Mature,0.15
Trivial Pursuit: Bet You Know It,Wii,2011,Misc,Electronic Arts,0.09,0.04,0.0,0.01,0.15,,,,,Electronic Arts,T,,0,0,2006,7.0,Trivial Pursuit,0,5,Growth,0.14
Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Turbo Prop Racing,0,3,Growth,0.15000000000000002
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0.0,0.0,0.15,,,,,Unknown,Unknown,,0,0,2001,6.0,Barbie Superpack,0,4,Growth,0.14
Tom Clancy's Ghost Recon,GC,2003,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.15,59.0,15.0,5.4,17.0,Red Storm Entertainment,M,54.0,1,1,2001,6.0,Tom Clancy's Ghost Recon,0,2,Launch,0.14
Pac-Man Party 3D,3DS,2011,Misc,Namco Bandai Games,0.09,0.04,0.0,0.01,0.15,43.0,11.0,5.4,11.0,Namco Bandai Games,E,54.0,1,1,2011,8.0,Pac-Man Party 3D,0,0,Launch,0.14
Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Dance Dance Revolution (North America),0,7,Mature,0.15000000000000002
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,74.0,27.0,7.9,25.0,Capcom,T,79.0,1,1,2004,7.0,Darkstalkers Chronicle,0,0,Launch,0.14
WWE '13,Wii,2012,Action,THQ,0.11,0.02,0.0,0.01,0.15,74.0,4.0,6.0,9.0,THQ,T,60.0,1,1,2006,7.0,WWE '13,0,6,Mature,0.14
Mad Dash Racing,XB,2001,Racing,Eidos Interactive,0.11,0.03,0.0,0.01,0.15,65.0,21.0,7.7,6.0,Crystal Dynamics,T,77.0,1,1,2001,6.0,Mad Dash Racing,0,0,Launch,0.15000000000000002
Bakugan Battle Brawlers: Defenders of the Core,X360,2010,Action,Activision,0.11,0.02,0.0,0.01,0.15,62.0,10.0,,,Now Production,E10+,,1,0,2005,7.0,Bakugan Battle Brawlers,0,5,Growth,0.14
Rayman Origins,3DS,2012,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,71.0,8.0,6.3,65.0,UBlart Montpellier,E10+,63.0,1,1,2011,8.0,Rayman Origins,0,1,Launch,0.15000000000000002
Summon Night 5,PSP,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,74.0,7.0,8.3,6.0,Felistella,T,83.0,1,1,2004,7.0,Summon Night,1,9,Late,0.15
MotoGP 2: Ultimate Racing Technology,PS2,2001,Racing,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,,,,,Unknown,Unknown,,0,0,2000,6.0,MotoGP,0,1,Launch,0.15
Black * Rock Shooter: The Game,PSP,2011,Role-Playing,Unknown,0.0,0.0,0.15,0.0,0.15,66.0,19.0,7.2,39.0,"Image Epoch, Imageepoch",T,72.0,1,1,2004,7.0,Black * Rock Shooter,0,7,Mature,0.15
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02,0.15,54.0,14.0,4.6,17.0,"Z-Axis, Ltd.",M,46.0,1,1,2000,6.0,BMX XXX,0,2,Launch,0.15
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Dragon Ball Z,0,1,Launch,0.15
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,Sega,0.1,0.04,0.0,0.0,0.15,,,,,Unknown,Unknown,,0,0,2001,6.0,Sonic Advance & Sonic Pinball Party Combo Pack,0,4,Growth,0.14
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15,83.0,31.0,9.6,16.0,KCEJ,E,96.0,1,1,2001,6.0,Boktai,0,2,Launch,0.14
Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,Unknown,Unknown,,0,0,2006,7.0,Making History,0,4,Growth,0.15
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,86.0,34.0,7.6,12.0,Arc System Works,T,76.0,1,1,2001,6.0,Guilty Gear X2 #Reload,0,3,Growth,0.15000000000000002
Wizardry VII: Gadeia no Houshu,PS,1995,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,,,,,Unknown,Unknown,,0,0,1994,5.0,Wizardry,0,1,Launch,0.15000000000000002
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15,63.0,75.0,6.6,445.0,"Armature Studio, comcept",T,66.0,1,1,2013,8.0,ReCore,0,3,Growth,0.14
Soldier of Fortune: Payback,PS3,2007,Shooter,Activision,0.12,0.02,0.0,0.01,0.15,50.0,14.0,5.4,13.0,Cauldron Ltd.,M,54.0,1,1,2006,7.0,Soldier of Fortune,0,1,Launch,0.15
F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0.0,0.02,0.15,80.0,15.0,6.9,115.0,Codemasters,E,69.0,1,1,1981,0.0,F1,0,31,Late,0.13999999999999999
Elf: The Movie,GBA,2004,Action,Crave Entertainment,0.1,0.04,0.0,0.0,0.15,,,,,Human Soft,E,,0,0,2001,6.0,Elf,0,3,Growth,0.14
MLB SlugFest 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.15,80.0,10.0,7.5,4.0,Gratuitous Games,E,75.0,1,1,2001,6.0,MLB SlugFest 20-03,0,1,Launch,0.14
Tiger Woods PGA Tour,DS,2004,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.14,64.0,21.0,7.4,7.0,Sensory Sweep,E,74.0,1,1,2004,0.0,Tiger Woods PGA Tour,0,0,Launch,0.14
Tamagotchi no Appare! Niji Venture,DS,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2004,0.0,Tamagotchi no Appare! Niji Venture,0,3,Growth,0.14
Ultimate Board Game Collection,Wii,2007,Misc,Xplosiv,0.13,0.0,0.0,0.01,0.14,,,,,Jack of All Games,E,,0,0,2006,7.0,Ultimate Board Game,0,1,Launch,0.14
Grabbed by the Ghoulies,XB,2003,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,0.14,66.0,42.0,7.3,28.0,Rare Ltd.,E,73.0,1,1,2001,6.0,Grabbed by the Ghoulies,0,2,Launch,0.15000000000000002
Cars: Mater-National Championship,X360,2007,Racing,THQ,0.13,0.0,0.0,0.01,0.14,58.0,9.0,7.8,6.0,Rainbow Studios,E,78.0,1,1,2005,7.0,Cars,0,2,Launch,0.14
Shadow Hearts: From The New World,PS2,2005,Role-Playing,Ghostlight,0.07,0.06,0.0,0.02,0.14,76.0,42.0,8.2,33.0,Nautilus,T,82.0,1,1,2000,6.0,Shadow Hearts,0,5,Growth,0.15
Rayman Raving Rabbids,DS,2007,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.14,56.0,13.0,6.1,8.0,Ubisoft Bulgaria,E,61.0,1,1,2004,0.0,Rayman Raving Rabbids,0,3,Growth,0.15000000000000002
Terraria,PC,2011,Action,Unknown,0.0,0.13,0.0,0.01,0.14,83.0,29.0,8.5,1613.0,Re-Logic,T,85.0,1,1,1981,0.0,Terraria,0,30,Late,0.14
Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2011,8.0,Derby Stallion Gold,0,3,Growth,0.14
CSI: 3 Dimensions of Murder,PS2,2007,Adventure,Ubisoft,0.07,0.06,0.0,0.02,0.14,,,,,Ubisoft Bulgaria,M,,0,0,2000,6.0,CSI,0,7,Mature,0.15
Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0.0,0.02,0.14,63.0,22.0,,,Saffire,T,,1,0,2000,6.0,Barbarian,0,2,Launch,0.15
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2001,6.0,Tennis no Oji-Sama,0,1,Launch,0.14
L.A. Rush,XB,2005,Racing,Midway Games,0.11,0.03,0.0,0.01,0.14,59.0,36.0,3.0,4.0,Midway,T,30.0,1,1,2001,6.0,L.A. Rush,0,4,Growth,0.15000000000000002
Rubik's World,Wii,2008,Puzzle,Game Factory,0.12,0.01,0.0,0.01,0.14,64.0,9.0,,,Two Tribes,E,,1,0,2006,7.0,Rubik's World,0,2,Launch,0.14
Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14,56.0,6.0,7.2,36.0,"Idea Factory, Compile Heart",T,72.0,1,1,2006,7.0,Record of Agarest War,1,4,Growth,0.14
QuickSpot,DS,2006,Misc,Namco Bandai Games,0.01,0.0,0.13,0.0,0.14,68.0,18.0,,,Namco,E10+,,1,0,2004,0.0,QuickSpot,0,2,Launch,0.14
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,1988,4.0,Lunar,0,6,Mature,0.14
Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,0.14,,,,,Sick Puppies,E,,0,0,1994,5.0,Pipe Dreams 3D,0,7,Mature,0.14
Skylanders Giants,3DS,2012,Action,Activision,0.12,0.01,0.0,0.01,0.14,59.0,9.0,5.0,13.0,n-Space,E10+,50.0,1,1,2011,8.0,Skylanders Giants,0,1,Launch,0.14
Spider-Man: Friend or Foe,Wii,2007,Action,Activision,0.13,0.0,0.0,0.01,0.14,59.0,29.0,8.0,6.0,Next Level Games,E10+,80.0,1,1,2006,7.0,Spider-Man,0,1,Launch,0.14
Fox Sports Golf '99,PS,1997,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,Fox Sports Golf '99,0,3,Growth,0.14
Power Rangers: Super Legends,PS2,2007,Action,Disney Interactive Studios,0.07,0.06,0.0,0.02,0.14,,,3.0,5.0,Artificial Mind and Movement,E10+,30.0,0,1,2000,6.0,Power Rangers,0,7,Mature,0.15
Jurassic: The Hunted,PS2,2009,Shooter,Activision,0.07,0.06,0.0,0.02,0.14,,,,,Activision,T,,0,0,2000,6.0,Jurassic,0,9,Late,0.15
Sakura Wars GB,GB,2000,Adventure,Media Factory,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,1989,4.0,Sakura Wars GB,0,11,Late,0.14
Shining Force CD,SCD,1994,Strategy,Sega,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,1991,4.0,Shining Force CD,0,3,Growth,0.14
Fatal Frame,PS2,2001,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,74.0,22.0,8.9,72.0,Tecmo,T,89.0,1,1,2000,6.0,Fatal Frame,0,1,Launch,0.15
Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.14,83.0,21.0,7.8,8.0,Ubisoft,E,78.0,1,1,2001,6.0,Rayman,1,2,Launch,0.14
The Fifth Element,PS,1998,Action,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,The Fifth Element,0,4,Growth,0.14
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80.0,10.0,7.7,31.0,Arc System Works,T,77.0,1,1,2013,8.0,BlazBlue,0,2,Launch,0.14
Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2004,0.0,Okaeri! Chibi-Robo! Happy Richie Oosouji,0,5,Growth,0.14
Wild ARMs 4,PS2,2005,Role-Playing,505 Games,0.07,0.06,0.0,0.02,0.14,69.0,38.0,7.3,17.0,Media Vision,T,73.0,1,1,2000,6.0,Wild ARMs,1,5,Growth,0.15
Ratatouille,GC,2007,Action,THQ,0.11,0.03,0.0,0.0,0.14,60.0,7.0,5.6,7.0,Asobo Studio,E,56.0,1,1,2001,6.0,Ratatouille,0,6,Mature,0.14
G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0.0,0.0,0.03,0.14,50.0,4.0,2.3,6.0,Double Helix Games,T,23.0,1,1,2000,6.0,G.I. Joe,0,9,Late,0.14
Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,0.07,0.05,0.0,0.02,0.14,58.0,7.0,3.5,6.0,Lucky Chicken,E,35.0,1,1,2000,6.0,Casper,0,1,Launch,0.14
Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2004,0.0,Super Robot Taisen OG Saga,0,4,Growth,0.14
Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2006,7.0,Sengoku Musou 3 Empires,0,5,Growth,0.14
Thunder Truck Rally,PS,1997,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,Thunder Truck Rally,0,3,Growth,0.14
Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,,,,,Unknown,Unknown,,0,0,2001,6.0,Klonoa,0,0,Launch,0.14
SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,The Adventure Company,0.07,0.06,0.0,0.01,0.14,43.0,4.0,,,Firehazard Studio,E,,1,0,2004,0.0,SafeCracker,0,5,Growth,0.14
Geometry Wars: Galaxies,DS,2007,Shooter,Vivendi Games,0.13,0.0,0.0,0.01,0.14,79.0,36.0,7.9,26.0,Kuju Entertainment,E,79.0,1,1,2004,0.0,Geometry Wars,0,3,Growth,0.14
Famista Returns,3DS,2015,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2011,8.0,Famista Returns,0,4,Growth,0.14
Syndicate,PS3,2012,Shooter,EA Games,0.07,0.06,0.0,0.02,0.14,75.0,29.0,6.5,106.0,Starbreeze,M,65.0,1,1,2006,7.0,Syndicate,0,6,Mature,0.15
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,50.0,32.0,,,Konami,E,,1,0,2005,7.0,Adrenalin Misfits,0,5,Growth,0.15
Karaoke Revolution Glee: Volume 3,X360,2011,Misc,Konami Digital Entertainment,0.13,0.0,0.0,0.01,0.14,,,,,Hijinx Studios,T,,0,0,2005,7.0,Karaoke Revolution Glee,1,6,Mature,0.14
Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,82.0,29.0,7.7,72.0,Nicalis,E10+,77.0,1,1,2011,8.0,Cave Story 3D,0,0,Launch,0.14
Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,Iron & Blood,0,2,Launch,0.14
Mega Man Powered Up,PSP,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14,82.0,28.0,7.5,36.0,Capcom,E,75.0,1,1,2004,7.0,Mega Man Powered Up,0,2,Launch,0.15
Balloon Pop,DS,2009,Puzzle,UFO Interactive,0.13,0.0,0.0,0.01,0.14,,,,,Tommo,E,,0,0,2004,0.0,Balloon Pop,0,5,Growth,0.14
Class of Heroes,PSP,2008,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14,61.0,12.0,7.1,12.0,Zerodiv,T,71.0,1,1,2004,7.0,Class of Heroes,0,4,Growth,0.15000000000000002
Second Sight,PS2,2004,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14,76.0,48.0,8.0,23.0,Free Radical Design,T,80.0,1,1,2000,6.0,Second Sight,0,4,Growth,0.14
Heroes of Mana,DS,2007,Strategy,Square Enix,0.07,0.01,0.05,0.01,0.14,66.0,32.0,,,Brownie Brown,E10+,,1,0,2004,0.0,Heroes of Mana,0,3,Growth,0.14
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M,84.0,1,1,1981,0.0,Alien,0,33,Late,0.15000000000000002
G.I. Joe: The Rise of Cobra,PSP,2009,Action,Electronic Arts,0.11,0.02,0.0,0.02,0.14,,,,,Double Helix Games,T,,0,0,2004,7.0,G.I. Joe,0,5,Growth,0.15
Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,50.0,5.3,529.0,Avalanche Studios,M,53.0,1,1,1981,0.0,Just Cause,1,34,Late,0.15000000000000002
Monster House,PS2,2006,Adventure,THQ,0.07,0.05,0.0,0.02,0.14,59.0,27.0,,,Artificial Mind and Movement,E10+,,1,0,2000,6.0,Monster House,0,6,Mature,0.14
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14,81.0,40.0,7.9,22.0,Nippon Ichi Software,T,79.0,1,1,2000,6.0,Phantom Brave,0,4,Growth,0.14
Thor: God of Thunder,X360,2011,Action,Sega,0.09,0.04,0.0,0.01,0.14,38.0,40.0,5.7,22.0,Liquid Entertainment,T,57.0,1,1,2005,7.0,Thor,0,6,Mature,0.14
Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0.0,0.01,0.14,70.0,8.0,,,Funcom,T,,1,0,1994,5.0,Championship Motocross 2001 featuring Ricky Carmichael,0,7,Mature,0.14
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2004,7.0,Kenka Banchou,0,7,Mature,0.14
Doshin the Giant,GC,2002,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,2001,6.0,Doshin the Giant,0,1,Launch,0.14
Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14,,,,,Unknown,Unknown,,0,0,1989,4.0,Star Ocean,0,12,Late,0.14
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0.0,0.0,0.14,,,,,Unknown,Unknown,,0,0,2001,6.0,Shrek 2 and Shark Tale 2-in-1 Pack,0,4,Growth,0.14
Mojo!,PS2,2003,Puzzle,Mindscape,0.07,0.05,0.0,0.02,0.14,,,,,Unknown,Unknown,,0,0,2000,6.0,Mojo!,0,3,Growth,0.14
Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,Kamen Rider Ryuki,0,8,Mature,0.14
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14,,,,,Unknown,Unknown,,0,0,1994,5.0,Front Mission Alternative,0,3,Growth,0.14
World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,,,,,Unknown,Unknown,,0,0,2004,7.0,World Championship Poker,0,2,Launch,0.14
FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,78.0,22.0,8.5,6.0,EA Canada,E,85.0,1,1,2001,6.0,FIFA Soccer,0,3,Growth,0.14
Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.01,0.14,74.0,6.0,7.9,12.0,Marvelous Entertainment,E,79.0,1,1,2004,7.0,Harvest Moon,0,5,Growth,0.15000000000000002
Diner Dash: Flo on the Go,DS,2009,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,0.14,,,,,Zoo Games,E,,0,0,2004,0.0,Diner Dash,0,5,Growth,0.14
Hexyz Force,PSP,2009,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14,68.0,13.0,7.3,21.0,Sting,T,73.0,1,1,2004,7.0,Hexyz Force,0,5,Growth,0.14
